	Prep_date	Treatment	Prep_date * Treatment
215885_at	1.520668e-03	2.310154e-04	9.058772e-09
220689_at	3.196232e-03	5.065027e-03	6.091007e-06
207720_at	8.047757e-03	4.362355e-02	6.069651e-03
206924_at	8.798150e-03	3.080645e-02	8.748286e-01
220317_at	1.076581e-02	9.193397e-02	5.082299e-01
210955_at	1.142656e-02	9.295324e-01	3.088856e-01
220969_s_at	1.492868e-02	5.376947e-01	9.260736e-01
207310_s_at	1.572267e-02	1.676965e-01	9.217681e-01
202989_at	1.669397e-02	4.152068e-01	5.893061e-01
220337_at	1.789793e-02	7.699428e-01	7.177634e-01
