	q	m	n	k	odds ratio	p-value	fdr
GeneList2	1.300000e+01	1.300000e+01	7.000000e+00	1.300000e+01	9.999990e+05	1.289990e-05	1.000000e+00
GeneList49	1.000000e+00	7.000000e+00	1.300000e+01	1.300000e+01	1.388889e-02	1.186791e-03	1.000000e+00
GeneList21	8.000000e+00	8.000000e+00	1.200000e+01	1.300000e+01	9.999990e+05	1.021672e-02	0.000000e+00
GeneList9	8.000000e+00	9.000000e+00	1.100000e+01	1.300000e+01	9.600000e+00	5.789474e-02	0.000000e+00
GeneList4	5.000000e+00	5.000000e+00	1.500000e+01	1.300000e+01	9.999990e+05	8.301084e-02	0.000000e+00
GeneList41	4.000000e+00	9.000000e+00	1.100000e+01	1.300000e+01	1.777778e-01	1.017802e-01	0.000000e+00
GeneList19	9.000000e+00	1.100000e+01	9.000000e+00	1.300000e+01	5.625000e+00	1.017802e-01	0.000000e+00
GeneList11	3.000000e+00	7.000000e+00	1.300000e+01	1.300000e+01	2.250000e-01	1.514448e-01	0.000000e+00
GeneList38	8.000000e+00	1.000000e+01	1.000000e+01	1.300000e+01	4.000000e+00	1.749226e-01	0.000000e+00
GeneList10	5.000000e+00	1.000000e+01	1.000000e+01	1.300000e+01	2.500000e-01	1.749226e-01	0.000000e+00
GeneList30	5.000000e+00	1.000000e+01	1.000000e+01	1.300000e+01	2.500000e-01	1.749226e-01	0.000000e+00
GeneList13	9.000000e+00	1.200000e+01	8.000000e+00	1.300000e+01	3.000000e+00	2.507740e-01	0.000000e+00
GeneList22	4.000000e+00	8.000000e+00	1.200000e+01	1.300000e+01	3.333333e-01	2.507740e-01	0.000000e+00
GeneList14	9.000000e+00	1.200000e+01	8.000000e+00	1.300000e+01	3.000000e+00	2.507740e-01	0.000000e+00
GeneList45	7.000000e+00	9.000000e+00	1.100000e+01	1.300000e+01	2.916667e+00	2.724458e-01	0.000000e+00
GeneList40	7.000000e+00	9.000000e+00	1.100000e+01	1.300000e+01	2.916667e+00	2.724458e-01	0.000000e+00
GeneList17	6.000000e+00	1.100000e+01	9.000000e+00	1.300000e+01	3.428571e-01	2.724458e-01	0.000000e+00
GeneList39	7.000000e+00	9.000000e+00	1.100000e+01	1.300000e+01	2.916667e+00	2.724458e-01	0.000000e+00
GeneList33	8.000000e+00	1.100000e+01	9.000000e+00	1.300000e+01	2.133333e+00	3.699690e-01	0.000000e+00
GeneList1	5.000000e+00	9.000000e+00	1.100000e+01	1.300000e+01	4.687500e-01	3.699690e-01	0.000000e+00
GeneList28	5.000000e+00	9.000000e+00	1.100000e+01	1.300000e+01	4.687500e-01	3.699690e-01	0.000000e+00
GeneList43	5.000000e+00	9.000000e+00	1.100000e+01	1.300000e+01	4.687500e-01	3.699690e-01	0.000000e+00
GeneList37	6.000000e+00	8.000000e+00	1.200000e+01	1.300000e+01	2.142857e+00	3.916409e-01	0.000000e+00
GeneList7	7.000000e+00	1.200000e+01	8.000000e+00	1.300000e+01	4.666667e-01	3.916409e-01	0.000000e+00
GeneList5	6.000000e+00	8.000000e+00	1.200000e+01	1.300000e+01	2.142857e+00	3.916409e-01	0.000000e+00
GeneList29	6.000000e+00	8.000000e+00	1.200000e+01	1.300000e+01	2.142857e+00	3.916409e-01	0.000000e+00
GeneList50	4.000000e+00	5.000000e+00	1.500000e+01	1.300000e+01	2.666667e+00	4.058308e-01	0.000000e+00
GeneList31	1.100000e+01	1.600000e+01	4.000000e+00	1.300000e+01	2.200000e+00	4.392157e-01	0.000000e+00
GeneList25	7.000000e+00	1.000000e+01	1.000000e+01	1.300000e+01	1.555556e+00	5.000000e-01	0.000000e+00
GeneList8	7.000000e+00	1.000000e+01	1.000000e+01	1.300000e+01	1.555556e+00	5.000000e-01	0.000000e+00
GeneList46	7.000000e+00	1.000000e+01	1.000000e+01	1.300000e+01	1.555556e+00	5.000000e-01	0.000000e+00
GeneList6	7.000000e+00	1.000000e+01	1.000000e+01	1.300000e+01	1.555556e+00	5.000000e-01	0.000000e+00
GeneList44	6.000000e+00	1.000000e+01	1.000000e+01	1.300000e+01	6.428571e-01	5.000000e-01	0.000000e+00
GeneList16	6.000000e+00	1.000000e+01	1.000000e+01	1.300000e+01	6.428571e-01	5.000000e-01	0.000000e+00
GeneList34	6.000000e+00	1.000000e+01	1.000000e+01	1.300000e+01	6.428571e-01	5.000000e-01	0.000000e+00
GeneList32	6.000000e+00	1.000000e+01	1.000000e+01	1.300000e+01	6.428571e-01	5.000000e-01	0.000000e+00
GeneList20	5.000000e+00	7.000000e+00	1.300000e+01	1.300000e+01	1.562500e+00	5.257353e-01	0.000000e+00
GeneList48	5.000000e+00	7.000000e+00	1.300000e+01	1.300000e+01	1.562500e+00	5.257353e-01	0.000000e+00
GeneList24	5.000000e+00	7.000000e+00	1.300000e+01	1.300000e+01	1.562500e+00	5.257353e-01	0.000000e+00
GeneList15	8.000000e+00	1.300000e+01	7.000000e+00	1.300000e+01	6.400000e-01	5.257353e-01	0.000000e+00
GeneList23	5.000000e+00	7.000000e+00	1.300000e+01	1.300000e+01	1.562500e+00	5.257353e-01	0.000000e+00
GeneList27	8.000000e+00	1.200000e+01	8.000000e+00	1.300000e+01	1.200000e+00	6.083591e-01	0.000000e+00
GeneList42	5.000000e+00	8.000000e+00	1.200000e+01	1.300000e+01	8.333333e-01	6.083591e-01	0.000000e+00
GeneList12	7.000000e+00	1.100000e+01	9.000000e+00	1.300000e+01	8.750000e-01	6.300310e-01	0.000000e+00
GeneList26	6.000000e+00	9.000000e+00	1.100000e+01	1.300000e+01	1.142857e+00	6.300310e-01	0.000000e+00
GeneList47	7.000000e+00	1.100000e+01	9.000000e+00	1.300000e+01	8.750000e-01	6.300310e-01	0.000000e+00
GeneList3	6.000000e+00	9.000000e+00	1.100000e+01	1.300000e+01	1.142857e+00	6.300310e-01	0.000000e+00
GeneList35	7.000000e+00	1.100000e+01	9.000000e+00	1.300000e+01	8.750000e-01	6.300310e-01	0.000000e+00
GeneList36	4.000000e+00	6.000000e+00	1.400000e+01	1.300000e+01	1.111111e+00	6.640867e-01	0.000000e+00
GeneList18	9.000000e+00	1.400000e+01	6.000000e+00	1.300000e+01	9.000000e-01	6.640867e-01	0.000000e+00
	q	m	n	k	odds ratio	p-value	fdr
GeneList2	1.098900e+04	1.098900e+04	1.101100e+04	1.098900e+04	9.999990e+05	0.000000e+00	1.000000e+00
GeneList923	5.601000e+03	1.097700e+04	1.102300e+04	1.098900e+04	1.089614e+00	7.660171e-04	0.000000e+00
GeneList348	5.654000e+03	1.108800e+04	1.091200e+04	1.098900e+04	1.087683e+00	9.587920e-04	0.000000e+00
GeneList748	5.391000e+03	1.101900e+04	1.098100e+04	1.098900e+04	9.210999e-01	1.207699e-03	0.000000e+00
GeneList1688	5.352000e+03	1.093400e+04	1.106600e+04	1.098900e+04	9.234175e-01	1.638197e-03	0.000000e+00
GeneList1457	5.645000e+03	1.108700e+04	1.091300e+04	1.098900e+04	1.080976e+00	2.030173e-03	0.000000e+00
GeneList1359	5.445000e+03	1.111100e+04	1.088900e+04	1.098900e+04	9.265008e-01	2.424653e-03	0.000000e+00
GeneList876	5.392000e+03	1.100400e+04	1.099600e+04	1.098900e+04	9.268090e-01	2.518234e-03	0.000000e+00
GeneList1060	5.407000e+03	1.103200e+04	1.096800e+04	1.098900e+04	9.274924e-01	2.740159e-03	0.000000e+00
GeneList45	5.542000e+03	1.088800e+04	1.111200e+04	1.098900e+04	1.078152e+00	2.748153e-03	0.000000e+00
GeneList593	5.595000e+03	1.099700e+04	1.100300e+04	1.098900e+04	1.077011e+00	3.097479e-03	0.000000e+00
GeneList499	5.523000e+03	1.085600e+04	1.114400e+04	1.098900e+04	1.075794e+00	3.517809e-03	0.000000e+00
GeneList603	5.364000e+03	1.093800e+04	1.106200e+04	1.098900e+04	9.301620e-01	3.783835e-03	0.000000e+00
GeneList436	5.423000e+03	1.105500e+04	1.094500e+04	1.098900e+04	9.305405e-01	3.957186e-03	0.000000e+00
GeneList299	5.403000e+03	1.101400e+04	1.098600e+04	1.098900e+04	9.308668e-01	4.111932e-03	0.000000e+00
GeneList1483	5.571000e+03	1.095600e+04	1.104400e+04	1.098900e+04	1.074257e+00	4.116617e-03	0.000000e+00
GeneList1006	5.379000e+03	1.096300e+04	1.103700e+04	1.098900e+04	9.318652e-01	4.620821e-03	0.000000e+00
GeneList1330	5.379000e+03	1.096200e+04	1.103800e+04	1.098900e+04	9.322039e-01	4.805594e-03	0.000000e+00
GeneList1128	5.397000e+03	1.099700e+04	1.100300e+04	1.098900e+04	9.325557e-01	5.004181e-03	0.000000e+00
GeneList693	5.591000e+03	1.100100e+04	1.099900e+04	1.098900e+04	1.072321e+00	5.004572e-03	0.000000e+00
GeneList708	5.367000e+03	1.093500e+04	1.106500e+04	1.098900e+04	9.332110e-01	5.394634e-03	0.000000e+00
GeneList1680	5.528000e+03	1.087700e+04	1.112300e+04	1.098900e+04	1.071502e+00	5.432202e-03	0.000000e+00
GeneList1341	5.395000e+03	1.099000e+04	1.101000e+04	1.098900e+04	9.335714e-01	5.619466e-03	0.000000e+00
GeneList361	5.580000e+03	1.098300e+04	1.101700e+04	1.098900e+04	1.070755e+00	5.845547e-03	0.000000e+00
GeneList1653	5.412000e+03	1.101900e+04	1.098100e+04	1.098900e+04	9.352806e-01	6.805525e-03	0.000000e+00
GeneList294	5.437000e+03	1.106900e+04	1.093100e+04	1.098900e+04	9.352953e-01	6.817500e-03	0.000000e+00
GeneList1588	5.358000e+03	1.091000e+04	1.109000e+04	1.098900e+04	9.355798e-01	7.035779e-03	0.000000e+00
GeneList681	5.424000e+03	1.104200e+04	1.095800e+04	1.098900e+04	9.356280e-01	7.071969e-03	0.000000e+00
GeneList389	5.380000e+03	1.095300e+04	1.104700e+04	1.098900e+04	9.359378e-01	7.317110e-03	0.000000e+00
GeneList1523	5.403000e+03	1.099800e+04	1.100200e+04	1.098900e+04	9.362948e-01	7.608086e-03	0.000000e+00
GeneList477	5.564000e+03	1.096100e+04	1.103900e+04	1.098900e+04	1.066860e+00	8.511741e-03	0.000000e+00
GeneList1056	5.574000e+03	1.098200e+04	1.101800e+04	1.098900e+04	1.066479e+00	8.822448e-03	0.000000e+00
GeneList346	5.380000e+03	1.094600e+04	1.105400e+04	1.098900e+04	9.383212e-01	9.462290e-03	0.000000e+00
GeneList76	5.630000e+03	1.109700e+04	1.090300e+04	1.098900e+04	1.065366e+00	9.793387e-03	0.000000e+00
