Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10	Gene11	Gene12	Gene13	Gene14	Gene15	Gene16	Gene17	Gene18	Gene19	Gene20
GeneList1	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0
GeneList2	0	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	0	1	0	1
GeneList3	1	0	0	1	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1
GeneList4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1
GeneList5	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	1	1	0	0	0
GeneList6	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1
GeneList7	1	1	0	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	1	1
GeneList8	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1
GeneList9	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	1
GeneList10	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1
GeneList11	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0
GeneList12	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1
GeneList13	1	1	1	0	0	1	0	0	1	0	0	1	1	0	1	0	1	1	1	1
GeneList14	1	1	0	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1
GeneList15	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1
GeneList16	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0	1	1
GeneList17	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1
GeneList18	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1
GeneList19	1	1	1	1	0	0	0	0	1	1	0	1	1	0	1	1	1	0	0	0
GeneList20	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0
GeneList21	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	1	0	1	0	0
GeneList22	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1
GeneList23	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1
GeneList24	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	0	1	0	0
GeneList25	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0
GeneList26	0	1	0	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	1	1
GeneList27	1	1	0	1	0	1	0	1	0	1	1	0	1	1	1	1	1	0	0	0
GeneList28	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	0
GeneList29	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1
GeneList30	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	1	1
GeneList31	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0
GeneList32	1	0	1	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1
GeneList33	1	0	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	1	1	0
GeneList34	1	0	1	0	1	1	1	0	0	1	1	0	1	0	1	0	1	0	0	0
GeneList35	0	1	0	1	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0	0
GeneList36	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0
GeneList37	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1
GeneList38	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1
GeneList39	1	0	0	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	0
GeneList40	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1
GeneList41	0	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	1	0
GeneList42	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0
GeneList43	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	1
GeneList44	1	0	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0
GeneList45	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1
GeneList46	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	1	0	1	1	0
GeneList47	1	1	1	0	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0	1
GeneList48	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0
GeneList49	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0
GeneList50	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1
