	NR_kstwo
A0.1	0.216050
A0.2	1.380688
A0.3	-0.594685
A0.4	-0.437939
A0.5	1.333985
A0.6	-0.387809
A0.7	0.175696
A0.8	-2.014204
A0.9	0.667216
A0.10	2.398249
A0.11	-0.086929
A0.12	-0.737750
A0.13	-0.168689
A0.14	0.797173
A0.15	1.410409
A0.16	0.927418
A0.17	1.977083
A0.18	-0.662231
A0.19	-1.040123
A0.20	-1.095321
A0.21	-0.865750
A0.22	0.313075
A0.23	-1.655742
A0.24	-0.062294
A0.25	0.865667
A0.26	-1.569254
A0.27	-0.421889
A0.28	-1.348308
A0.29	-0.649926
A0.30	-0.377351
A0.31	0.301606
A0.32	0.938560
A0.33	-0.845078
A0.34	-1.058234
A0.35	-1.487701
A0.36	-1.372400
A0.37	-1.112885
A0.38	0.033780
A0.39	-0.273054
A0.40	-0.399383
A0.41	0.072827
A0.42	-0.068572
A0.43	-0.551006
A0.44	-0.155540
A0.45	2.123508
A0.46	0.459176
A0.47	-0.686088
A0.48	-0.903831
A0.49	0.502237
A0.50	-0.934166
A0.51	0.774266
A0.52	0.215856
A0.53	0.157561
A0.54	0.691176
A0.55	-0.382565
A0.56	-0.603394
A0.57	0.257295
A0.58	-0.332956
A0.59	-0.345348
A0.60	-1.592625
A0.61	0.820198
A0.62	-0.071121
A0.63	0.892068
A0.64	0.841569
A0.65	0.539830
A0.66	-1.955235
A0.67	0.766991
A0.68	-0.891531
A0.69	-2.023172
A0.70	-0.304261
A0.71	0.611729
A0.72	-0.976366
A0.73	0.326937
A0.74	1.374109
A0.75	-0.415905
A0.76	-0.347112
A0.77	1.765553
A0.78	-0.541246
A0.79	0.450801
A0.80	-0.832431
A0.81	0.172585
A0.82	-2.154666
A0.83	-1.501498
A0.84	-0.830467
A0.85	0.852235
A0.86	-1.917866
A0.87	0.563443
A0.88	0.634261
A0.89	-1.122730
A0.90	0.536196
A0.91	2.623071
A0.92	-0.308878
A0.93	0.197141
A0.94	1.163599
A0.95	1.640026
A0.96	-0.188412
A0.97	0.545191
A0.98	-0.441361
A0.99	-1.119031
A0.100	0.069319
A0.101	-0.473721
A0.102	1.839826
A0.103	0.029757
A0.104	1.569178
A0.105	-0.537250
A0.106	0.301489
A0.107	-1.410688
A0.108	-2.330888
A0.109	-0.053336
A0.110	-0.381321
A0.111	0.060260
A0.112	1.181208
A0.113	0.775201
A0.114	-0.189303
A0.115	-0.425183
