X1	X2	X3	X4	X5	X6	X7	X8
G1	3	3	NA	3	3	3	35	45
G2	53	55	58	113	113	86	67	90
G3	3.5	3.5	4	4	4.5	4.5	46	59
G4	63	58	58	125	126	110	78	97
G5	4	4	4.5	4.5	5	5	NA	60
G6	68	65	65	123	123	117	87	108
G7	5	5	5	5.5	5.5	5.5	46	63
G8	70	64	63	116	119	115	97	112
G9	6	6	6	6	6.5	6.5	51	69
G10	77	70	71	120	122	122	96	123
G11	11	11	11	11	11	11	64	75
G12	81	79	79	112	114	113	98	115
G13	20	20	20	20	20	20	76	86
G14	93	92	91	104	104.5	107	97.5	104
G15	30	30	30	30	30.1	30.2	84	96
G16	98	99	96	101	102	99	94	99
G17	30	NA	36.8	40	43	45.6	100	106
G18	106	108	101	99	98	99	95	95
G19	42	44	46	48	50	51	109	111
G20	110	110	103	95.5	95.5	95	92.5	92
G21	60	61.7	63.5	65.5	67.3	69.2	122	124
G22	124	121	103	93.2	92.5	92.2	90	90.8
G23	70	70.1	70.2	70.3	70.4	70.5	137	132
G24	134	128	101	91.7	90.2	88.8	87.3	85.8
G25	78	77.6	77.2	76.8	76.4	76	167	159
G26	152	144	103	89.8	87.7	85.7	83.7	81.8
G27	98.9	97.8	96.7	95.5	94.3	93.2	183	172
G28	162	152	102	87.5	85.3	83.3	81.3	79.3
G29	160	157	155	152	149	147	186	175
G30	165	156	120	87	84.9	82.8	80.8	79
G31	272	266	260	254	248	242	192	182
G32	170	159	131	88	85.8	83.7	81.6	79.6
G33	382	372	362	352	343	333	205	192
G34	NA	166	138	86.2	NA	82	79.8	77.5
G35	770	740	710	680	650	618	226	207
G36	195	180	160	82.9	80.2	77.7	75.2	72.7
